Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
4,116,1,8,59,1828.774603,0.003874092,0.023361582,26.93792373,0,May,2,2,7,6,Returning_Visitor,FALSE,FALSE
0,0,0,0,5,241,0,0.08,0,1,May,2,2,5,1,Returning_Visitor,TRUE,FALSE
8,492.4166667,4,384,52,4699.277778,0.007258065,0.018233487,11.1076505,0,Mar,2,2,1,2,Returning_Visitor,FALSE,TRUE
13,318.7202381,1,0,60,1205.945238,0.008823529,0.01709646,5.710061275,0,May,2,2,3,13,Returning_Visitor,FALSE,TRUE
4,75.5,0,0,10,158.9733333,0.023076923,0.038461538,20.65287956,0,Oct,1,1,3,2,Returning_Visitor,TRUE,TRUE
0,0,0,0,24,272,0.056,0.090666667,0,0.8,May,3,2,3,4,Returning_Visitor,FALSE,FALSE
0,0,0,0,10,466.5,0,0.022222222,0,0,May,1,8,6,6,New_Visitor,FALSE,FALSE
2,83.6,1,0,18,1219.7,0,0.00952381,16.36245374,0,Aug,2,2,1,4,New_Visitor,FALSE,TRUE
5,77.08333333,2,96.5,15,2106.833333,0.014285714,0.037301587,0,0,Nov,1,1,4,2,Returning_Visitor,TRUE,TRUE
10,117.3333333,0,0,28,631.9896825,0.017647059,0.022794118,10.16517157,0,Mar,3,7,1,2,Returning_Visitor,FALSE,TRUE
0,0,0,0,9,436,0,0.025,68.1974018,0,Dec,1,2,2,2,New_Visitor,FALSE,TRUE
0,0,0,0,1,0,0.2,0.2,0,0,Dec,2,2,4,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,18,1110.866667,0,0.014814815,57.03508179,0,Aug,2,10,4,1,Returning_Visitor,FALSE,TRUE
0,0,0,0,14,128.5,0.071428571,0.114285714,0,1,May,3,2,1,13,Returning_Visitor,TRUE,FALSE
8,535.75,2,12,22,2178.672222,0.01382716,0.032020784,15.0047619,0,May,1,2,2,13,Returning_Visitor,FALSE,FALSE
0,0,0,0,28,512.7166667,0.007142857,0.013571429,1.401949127,0,Jul,2,2,7,1,Returning_Visitor,TRUE,TRUE
0,0,0,0,2,68.5,0,0.033333333,0,0,Mar,3,2,1,10,Returning_Visitor,FALSE,FALSE
0,0,0,0,1,0,0.2,0.2,0,0.4,Feb,1,1,1,3,Returning_Visitor,FALSE,FALSE
0,0,3,57,31,4547.166667,0.012903226,0.039247312,8.682741935,0,Mar,2,4,5,2,Returning_Visitor,FALSE,FALSE
9,309,0,0,25,383.0833333,0.018181818,0.037575758,0,0,Mar,2,2,3,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,16,385.5,0,0.0125,0,0,Dec,2,2,4,1,Returning_Visitor,FALSE,FALSE
2,25.2,0,0,13,238.5333333,0,0.009375,36.70369311,0,Oct,2,2,1,20,Returning_Visitor,FALSE,TRUE
0,0,0,0,3,780,0.066666667,0.066666667,0,0.4,Feb,2,4,1,3,Returning_Visitor,FALSE,FALSE
4,14,0,0,28,341.35,0.007142857,0.028571429,0,0,May,4,1,2,4,Returning_Visitor,FALSE,FALSE
0,0,0,0,28,1283.75,0.014285714,0.023809524,0,0,Dec,2,2,1,2,Returning_Visitor,TRUE,FALSE
0,0,0,0,24,968.6924242,0,0,106.2525169,0,Nov,1,1,9,2,Returning_Visitor,FALSE,TRUE
0,0,0,0,12,481.8333333,0,0.018181818,74.088,0,Mar,1,1,1,2,New_Visitor,FALSE,TRUE
7,53.75,5,199,77,2194.490404,0,0.010341365,44.1286184,0,Nov,2,2,2,2,Returning_Visitor,FALSE,TRUE
5,72.5,0,0,35,2429.8125,0,0.023684211,102.4922188,0,Nov,2,2,2,1,Returning_Visitor,FALSE,TRUE
1,13.83333333,1,0,200,8336.039583,0.004207921,0.017597513,3.730318306,0,Nov,2,5,4,1,Returning_Visitor,FALSE,TRUE
1,0,0,0,15,487.5,0,0.019166667,0,0.8,Feb,1,1,2,4,Returning_Visitor,TRUE,FALSE
0,0,0,0,13,421.1666667,0,0.028205128,0,0.8,May,1,1,1,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,3,0,0.2,0.2,0,0,Jul,1,1,3,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,6,34.33333333,0.033333333,0.05,0,0.6,May,2,2,2,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,28,859.3333333,0,0.007407407,17.50632106,0,Nov,4,1,6,2,New_Visitor,FALSE,TRUE
2,65.4,0,0,79,2426.006667,0.001265823,0.017721519,0,0,Sep,3,2,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,82,3247.433333,0.002439024,0.012804878,0,0,Nov,2,2,1,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,30,599.9190476,0,0.004285714,0,0,Jul,1,1,1,4,Returning_Visitor,FALSE,FALSE
0,0,0,0,5,43.5,0.14,0.18,0,0,Nov,3,3,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,4,7,0.1,0.15,0,0,May,2,5,8,1,Returning_Visitor,FALSE,FALSE
7,230.1666667,3,222,140,8961.407671,0.00137931,0.012980564,0,0,Mar,2,5,2,1,Returning_Visitor,TRUE,FALSE
6,186.6666667,2,100.8,11,347.4,0,0.015,0,0,Aug,3,2,4,5,Returning_Visitor,FALSE,TRUE
1,0,0,0,18,224.5,0.0375,0.0625,0,0,May,3,2,4,4,Returning_Visitor,TRUE,FALSE
0,0,0,0,2,9,0,0.066666667,0,0,Nov,2,2,8,6,Returning_Visitor,FALSE,FALSE
4,96.25,0,0,67,3763.000758,0,0.003076923,15.84839963,0,Nov,2,4,9,3,Other,FALSE,TRUE
0,0,0,0,2,14,0,0.1,0,0.2,May,3,2,3,1,Returning_Visitor,FALSE,FALSE
6,134.36,0,0,22,568.9683333,0.017391304,0.021614907,12.39204312,0,Sep,1,2,6,2,Returning_Visitor,TRUE,TRUE
1,26.2,1,6,28,677.5333333,0,0.019472789,0,0,Jul,1,1,6,1,Returning_Visitor,TRUE,TRUE
5,181.6,2,722.52,98,1717.873278,0.014150943,0.023942797,0,0,Aug,3,2,1,4,Returning_Visitor,FALSE,FALSE
2,15,0,0,7,620.5,0.028571429,0.085714286,0,0,Nov,2,2,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,11,458.5,0,0.007407407,0,0,May,1,1,1,4,Returning_Visitor,TRUE,FALSE
